4980	3
92	57	43
92	57	42
90	55	40
68	43	33
72	46	34
74	47	35
77	48	36
79	49	36
80	50	37
81	51	37
82	51	37
83	51	37
84	52	38
85	53	38
86	53	39
88	54	39
89	55	40
90	56	41
91	56	41
92	57	41
93	57	42
94	57	42
94	58	42
94	58	42
94	58	42
95	58	42
95	58	42
95	58	42
95	58	43
96	58	43
97	58	44
98	59	44
99	59	44
101	60	45
103	61	46
104	62	47
107	63	48
108	64	49
110	65	50
112	67	51
113	67	52
112	67	52
111	67	51
110	66	51
109	66	51
107	65	50
104	64	48
100	62	47
95	58	44
88	54	40
84	51	38
77	47	37
65	41	34
55	39	34
44	33	29
49	32	26
70	44	32
83	51	37
88	54	40
88	54	41
86	53	41
81	51	39
72	46	37
62	41	33
50	35	29
43	31	27
42	31	27
48	34	29
62	43	36
78	52	41
89	58	44
94	59	44
95	58	43
93	57	41
63	40	30
68	43	32
72	46	34
75	48	35
77	49	36
79	50	36
80	50	37
81	51	37
82	51	37
82	51	37
84	52	37
84	52	38
86	53	38
87	54	39
89	55	40
90	56	40
91	57	41
92	57	41
93	57	42
94	57	42
94	57	42
94	58	42
95	58	42
95	58	42
95	58	42
95	58	42
96	58	43
96	58	43
97	58	43
98	58	44
100	59	44
101	60	45
103	61	46
104	62	47
107	63	48
109	64	49
111	66	50
112	67	52
114	68	52
113	68	53
111	67	52
110	66	51
107	65	50
105	64	49
102	62	47
98	60	46
93	57	44
87	53	40
84	50	38
78	47	37
66	42	35
58	43	38
47	37	33
44	31	26
66	42	31
81	51	37
88	54	41
89	55	42
87	54	42
82	51	40
73	47	37
64	42	34
50	35	29
41	30	26
40	30	26
48	34	30
63	43	36
80	53	42
91	59	45
97	61	46
97	60	45
95	58	43
58	37	27
64	40	30
70	45	34
74	47	35
76	48	36
78	49	36
80	50	37
81	50	37
81	51	37
82	51	37
82	51	37
83	51	37
84	52	37
85	52	38
87	53	39
88	54	39
90	55	40
91	56	41
92	57	41
92	57	41
93	57	41
93	57	41
94	57	42
94	58	42
95	58	42
95	58	42
96	58	42
96	58	43
97	58	43
97	58	43
98	58	44
99	59	44
100	60	45
103	60	46
104	62	47
107	63	48
109	64	49
111	66	51
112	67	52
114	68	53
113	68	53
112	67	52
109	66	51
106	64	50
104	63	48
100	61	47
96	59	45
92	56	43
87	52	40
83	49	37
77	47	37
62	41	34
48	36	32
38	30	28
38	27	24
62	40	30
81	50	38
88	54	41
89	55	42
87	54	42
82	52	40
74	47	38
64	42	34
50	34	29
40	29	25
38	28	25
47	34	29
67	46	38
83	55	44
94	61	47
99	62	47
99	61	46
97	59	44
57	36	27
62	39	30
69	44	33
72	46	34
75	48	35
77	49	36
79	50	37
80	51	37
81	51	37
82	51	37
82	51	37
82	51	37
83	51	37
83	51	37
84	52	37
86	53	38
88	54	39
89	55	40
90	55	40
90	56	40
91	56	40
91	56	41
92	56	41
92	56	41
93	57	41
94	57	42
95	58	42
96	58	42
96	58	42
97	58	43
97	58	43
98	58	43
99	58	44
100	59	45
102	60	45
104	61	47
107	63	48
109	64	49
111	65	50
112	67	52
113	68	53
113	68	53
112	67	52
109	66	51
107	64	50
103	62	48
98	59	46
94	58	45
90	55	43
85	51	40
81	48	37
75	46	36
59	38	32
34	26	24
27	22	21
31	23	20
57	37	28
79	50	37
87	54	41
88	54	42
86	53	41
82	51	40
75	48	38
64	42	34
51	35	29
39	29	25
37	28	24
47	34	29
69	47	38
87	57	45
96	61	48
101	63	48
101	62	47
100	61	45
57	37	28
66	42	32
70	45	34
73	46	35
76	48	36
78	50	36
80	50	37
81	51	37
82	51	37
82	51	37
83	51	37
82	51	37
82	51	37
83	51	37
83	51	37
84	52	37
86	53	38
87	54	38
88	54	39
88	54	39
88	54	39
88	54	39
89	55	40
89	55	40
90	56	41
92	56	41
94	57	42
95	58	42
96	58	42
97	58	42
97	58	43
98	58	43
99	58	44
99	58	44
101	59	45
103	60	46
105	62	48
107	63	49
110	65	50
111	66	51
113	67	52
113	68	53
112	67	52
109	66	51
106	64	50
102	62	48
97	59	45
93	56	44
89	54	42
84	50	39
79	47	36
73	45	35
58	37	31
31	23	21
24	19	19
27	20	19
54	35	27
74	47	35
83	51	39
85	52	40
84	52	40
80	49	39
73	46	36
65	42	33
50	35	29
40	29	25
37	28	24
71	48	39
89	58	46
99	63	49
103	64	49
104	64	48
103	63	47
64	40	29
56	36	27
61	39	29
66	42	32
71	45	34
74	47	35
77	49	36
79	50	37
81	51	37
82	51	37
83	51	37
82	51	37
83	51	37
82	51	37
82	51	37
82	51	36
83	51	36
83	51	37
84	51	37
84	52	37
84	52	37
84	52	37
84	52	38
84	52	38
85	53	39
85	53	39
86	54	40
88	55	40
91	56	42
94	57	42
96	58	43
97	58	43
98	58	43
98	58	43
98	58	43
98	57	43
99	58	44
101	59	45
103	60	46
105	61	48
108	63	49
110	65	50
112	66	52
112	67	52
111	67	52
109	65	51
107	64	50
103	62	48
98	59	45
92	56	43
87	53	41
82	49	38
77	45	35
72	43	34
56	36	30
31	23	21
24	19	19
25	20	19
46	31	24
70	44	32
79	48	36
82	50	38
80	49	38
77	47	37
72	45	35
63	41	32
50	34	28
41	29	25
38	28	24
50	35	30
74	49	40
91	58	47
100	63	49
105	65	50
106	66	50
106	65	49
55	35	26
64	40	31
69	44	33
72	46	34
75	48	36
78	50	37
80	51	37
82	51	37
83	52	38
83	52	37
83	52	37
83	51	37
82	51	36
82	51	36
82	51	36
83	50	36
83	50	36
82	50	36
82	50	36
80	49	36
80	49	35
80	49	36
80	49	36
81	50	37
82	51	38
83	52	39
84	53	40
88	55	41
92	57	42
96	58	43
98	59	44
99	59	44
99	59	43
98	58	43
97	57	43
96	57	43
98	57	43
100	58	44
102	60	46
106	62	48
108	64	49
110	65	51
111	66	51
110	66	52
109	66	51
107	64	50
103	62	48
99	60	46
93	56	44
87	52	41
81	48	38
75	44	35
70	42	34
56	36	31
36	27	24
29	22	20
45	29	23
65	40	30
75	46	34
78	47	36
77	47	36
74	46	35
69	43	34
61	40	31
50	34	28
42	30	25
41	30	25
54	37	31
76	50	41
92	59	47
102	64	50
106	66	51
108	67	51
107	66	50
103	63	47
99	60	45
65	41	31
70	44	33
73	47	35
77	49	36
79	50	37
82	51	38
83	52	38
84	52	37
84	52	37
84	52	37
83	51	37
83	51	37
83	51	37
83	51	37
83	51	36
83	50	36
82	50	36
80	49	35
77	47	34
75	46	33
73	44	33
74	45	34
76	47	36
78	49	37
79	50	38
81	52	39
85	53	40
89	56	42
94	58	44
99	60	45
101	61	45
101	60	45
100	59	44
97	57	43
95	56	42
94	55	41
95	55	42
98	57	43
102	59	45
104	61	47
107	63	49
108	64	50
109	65	51
108	64	50
106	64	50
104	63	49
101	61	47
95	57	44
87	53	42
80	48	38
74	43	35
69	41	33
61	39	33
49	35	31
45	34	31
39	29	25
51	33	25
65	40	29
73	44	33
75	45	34
75	45	35
73	44	34
68	43	33
61	40	31
51	35	28
43	31	26
44	31	27
58	39	33
78	50	41
93	59	47
102	64	50
107	66	52
109	67	52
109	67	51
108	66	50
105	64	48
101	61	46
84	51	39
66	42	32
71	45	34
75	48	35
78	49	37
80	51	37
83	52	38
84	52	38
84	52	38
85	52	38
84	52	37
84	51	37
84	51	37
83	50	37
84	51	37
84	51	37
84	51	37
83	50	36
80	49	35
75	46	33
70	42	31
64	38	29
64	39	30
70	44	33
75	47	35
78	49	37
80	51	39
83	53	40
87	55	42
92	57	43
98	60	45
102	62	46
103	62	47
102	61	46
99	59	45
95	56	43
91	54	41
90	52	40
92	53	40
95	55	42
99	58	44
102	60	46
104	62	47
106	63	49
106	63	49
106	63	49
104	63	48
102	62	47
98	59	46
90	55	43
82	49	39
74	44	35
69	41	33
62	39	33
54	37	33
47	34	29
46	31	26
56	35	27
67	40	30
72	43	33
74	44	34
74	44	34
72	44	33
68	43	32
62	40	31
53	36	28
46	32	27
49	34	28
62	41	34
81	52	41
94	59	47
104	63	50
108	66	52
111	68	53
110	68	52
108	67	51
106	65	50
102	62	47
93	56	42
91	55	42
89	54	41
87	53	40
85	52	40
61	39	29
67	43	32
71	46	34
76	48	36
79	50	37
82	51	37
83	52	38
85	52	38
85	52	38
85	52	38
85	52	37
84	51	37
84	51	37
84	50	36
84	51	37
85	51	37
84	51	37
83	50	37
81	49	36
76	46	34
67	41	31
56	34	27
54	33	26
63	38	30
71	44	33
77	48	36
80	51	38
84	53	40
86	55	42
90	57	43
95	59	45
100	62	47
103	62	47
103	61	47
100	59	45
94	55	42
87	51	39
84	49	38
84	49	37
87	50	38
92	53	40
96	56	42
100	58	44
102	60	46
104	61	47
104	62	47
103	62	47
102	61	47
99	60	46
94	58	44
86	53	41
77	46	37
70	42	34
62	38	32
49	31	27
45	29	25
54	34	26
64	38	29
69	41	31
72	43	33
74	44	34
74	44	33
72	44	33
69	43	32
62	40	31
55	37	29
51	34	28
54	36	30
68	44	36
83	52	42
95	59	47
103	63	49
109	66	52
111	68	53
111	69	53
109	68	52
107	66	51
103	63	49
99	61	47
96	58	45
93	57	43
91	56	42
89	54	41
88	54	41
86	53	41
85	52	41
63	40	31
68	43	33
72	46	34
76	48	36
79	50	37
82	51	38
84	52	38
86	53	38
86	53	38
86	53	38
85	52	38
85	51	37
84	51	37
84	50	36
84	51	37
85	51	37
84	50	37
83	50	37
81	49	36
77	46	35
67	40	31
53	32	26
46	27	23
55	32	26
68	41	31
77	47	36
82	51	38
85	53	40
87	54	41
89	56	43
92	58	44
96	60	46
99	61	46
99	59	46
93	55	43
84	49	38
79	46	36
81	47	36
83	48	37
83	48	37
84	49	37
87	50	38
92	53	40
96	56	42
100	59	44
101	60	45
101	60	46
101	60	46
100	60	46
97	59	44
91	56	43
83	51	40
75	46	37
67	41	33
54	33	27
58	35	28
63	38	30
67	40	31
70	41	32
72	43	33
73	44	33
74	45	33
72	44	33
69	43	32
64	41	32
59	39	31
56	37	30
61	40	32
73	47	37
86	54	43
97	59	47
104	63	49
108	66	51
111	68	53
112	69	53
110	68	53
107	66	51
104	64	49
101	61	47
97	59	45
94	57	44
92	56	43
90	55	42
89	55	42
86	53	41
85	53	41
83	52	40
55	35	27
64	41	31
68	43	33
72	46	34
76	48	36
79	50	37
82	51	37
84	52	38
85	53	38
86	53	38
87	53	38
86	52	38
85	52	37
84	50	37
84	50	36
84	50	36
84	51	36
83	50	36
82	49	36
81	48	36
