4980	3
-71.0818	-14.1669	-5.65438
-71.035	-16.8811	-6.62029
-70.9933	-19.621	-7.67824
-70.958	-22.361	-8.93582
-70.9304	-25.0744	-10.1639
-70.9114	-27.7344	-11.0824
-70.9014	-30.3153	-11.9293
-70.9003	-32.7953	-12.4711
-70.907	-35.1592	-12.8803
-70.9198	-37.4006	-13.1158
-70.9363	-39.5225	-13.3352
-70.9541	-41.5356	-13.9166
-70.9706	-43.4562	-13.8657
-70.9838	-45.304	-14.3109
-70.9919	-47.102	-14.5725
-70.9934	-48.8748	-14.9492
-70.9874	-50.6487	-15.5445
-70.9727	-52.4485	-15.6785
-66.7147	58.2812	-29.3367
-66.8714	55.9271	-26.9432
-67.0329	53.5631	-24.4854
-67.1968	51.1931	-22.4116
-67.3616	48.8199	-20.732
-67.5267	46.4461	-19.1542
-67.692	44.0736	-17.6679
-67.8577	41.7041	-16.7397
-68.0231	39.3391	-15.8928
-68.1865	36.9799	-14.7864
-68.3454	34.6279	-13.6808
-68.4973	32.2844	-12.8304
-68.6398	29.9508	-11.7151
-68.7711	27.6288	-11.1142
-68.8896	25.3203	-10.2467
-68.994	23.0275	-9.16888
-69.0829	20.7526	-8.15177
-69.1554	18.4975	-7.24508
-69.2108	16.2623	-6.48125
-69.2489	14.0448	-5.62147
-69.2705	11.8395	-4.9487
-69.2768	9.63847	-3.8891
-69.2694	7.43187	-3.04454
-69.2499	5.20902	-2.36273
-69.22	2.95892	-1.75615
-69.1814	0.670584	-1.54696
-69.1358	-1.66653	-1.41107
-69.0846	-4.0618	-1.13989
-69.0298	-6.52222	-1.30993
-68.973	-9.05077	-1.60314
-68.916	-11.6449	-2.17015
-68.8608	-14.2956	-3.15156
-68.8092	-16.9881	-4.22924
-68.763	-19.7027	-5.38215
-68.7239	-22.4163	-6.5787
-68.6933	-25.1042	-7.58004
-68.6724	-27.7409	-8.63628
-68.6615	-30.3022	-9.43517
-68.66	-32.7674	-9.92895
-68.6667	-35.1213	-10.1442
-68.6793	-37.3563	-10.0431
-68.695	-39.4728	-10.0004
-68.7111	-41.4786	-10.1646
-68.7249	-43.3875	-10.244
-68.7344	-45.2182	-10.2371
-68.7381	-46.9934	-10.2941
-68.7347	-48.7396	-10.8092
-68.7232	-50.487	-11.0651
-68.7028	-52.2672	-11.7561
-68.6726	-54.1055	-11.6157
-64.53	60.5717	-26.8037
-64.6845	58.2341	-24.248
-64.8466	55.883	-21.7986
-65.0126	53.5232	-19.7581
-65.1801	51.1582	-18.1208
-65.3471	48.7911	-16.4343
-65.5127	46.4242	-15.0331
-65.6762	44.0597	-14.1071
-65.8371	41.6993	-13.1524
-65.9945	39.3442	-12.0971
-66.1471	36.9958	-11.1447
-66.2931	34.655	-10.3361
-66.4307	32.3231	-9.21344
-66.5581	30.0009	-8.45587
